GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, RotateRight90, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, RotateRight45, GetBattleInfo
GetBattleInfo, MoveForward, GetBattleInfo
GetBattleInfo, RotateRight45, GetBattleInfo
GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, Shoot, GetBattleInfo (killed)
GetBattleInfo, RotateRight90, 
GetBattleInfo, MoveForward, 
GetBattleInfo, GetBattleInfo, 
GetBattleInfo, RotateRight90, 
GetBattleInfo, RotateRight45, 
GetBattleInfo, MoveForward, 
GetBattleInfo, GetBattleInfo, 
GetBattleInfo, RotateLeft45, 
GetBattleInfo, Shoot (ignored), 
GetBattleInfo, RotateLeft45, 
GetBattleInfo, GetBattleInfo, 
GetBattleInfo, RotateRight45, 
GetBattleInfo, MoveForward, 
GetBattleInfo, Shoot (ignored), 
GetBattleInfo, GetBattleInfo, 
GetBattleInfo (killed), MoveForward (killed), 
Tie, both players have zero tanks
